Fam ID	Indiv ID	Wsp
DGRP-3-0368	DGRP-3-0368	1
DGRP-3-0369	DGRP-3-0369	1
DGRP-3-0370	DGRP-3-0370	1
DGRP-3-0371	DGRP-3-0371	1
DGRP-3-0372	DGRP-3-0372	1
DGRP-3-0373	DGRP-3-0373	1
DGRP-3-0374	DGRP-3-0374	0
DGRP-3-0375	DGRP-3-0375	1
DGRP-3-0376	DGRP-3-0376	0
DGRP-3-0377	DGRP-3-0377	1
DGRP-3-0378	DGRP-3-0378	1
DGRP-3-0379	DGRP-3-0379	1
DGRP-3-0380	DGRP-3-0380	1
DGRP-3-0381	DGRP-3-0381	1
DGRP-3-0382	DGRP-3-0382	0
DGRP-3-0383	DGRP-3-0383	1
DGRP-3-0384	DGRP-3-0384	0
DGRP-3-0385	DGRP-3-0385	1
DGRP-3-0386	DGRP-3-0386	1
DGRP-3-0387	DGRP-3-0387	1
DGRP-3-0388	DGRP-3-0388	1
DGRP-3-0389	DGRP-3-0389	1
DGRP-3-0390	DGRP-3-0390	1
DGRP-3-0391	DGRP-3-0391	1
DGRP-3-0392	DGRP-3-0392	0
DGRP-3-0393	DGRP-3-0393	0
DGRP-3-0394	DGRP-3-0394	1
DGRP-3-0395	DGRP-3-0395	0
DGRP-3-0396	DGRP-3-0396	1
DGRP-3-0397	DGRP-3-0397	1
DGRP-3-0398	DGRP-3-0398	0
DGRP-3-0399	DGRP-3-0399	1
DGRP-3-0400	DGRP-3-0400	1
DGRP-3-0401	DGRP-3-0401	1
DGRP-3-0402	DGRP-3-0402	0
DGRP-3-0403	DGRP-3-0403	1
DGRP-3-0404	DGRP-3-0404	0
DGRP-3-0405	DGRP-3-0405	1
DGRP-3-0406	DGRP-3-0406	1
DGRP-3-0407	DGRP-3-0407	1
DGRP-3-0408	DGRP-3-0408	1
DGRP-3-0409	DGRP-3-0409	1
DGRP-3-0410	DGRP-3-0410	1
DGRP-3-0411	DGRP-3-0411	1
DGRP-3-0412	DGRP-3-0412	0
DGRP-3-0413	DGRP-3-0413	0
DGRP-3-0414	DGRP-3-0414	1
DGRP-3-0415	DGRP-3-0415	1
DGRP-3-0416	DGRP-3-0416	1
DGRP-3-0417	DGRP-3-0417	0
DGRP-3-0418	DGRP-3-0418	1
DGRP-3-0419	DGRP-3-0419	0
DGRP-3-0420	DGRP-3-0420	0
DGRP-3-0421	DGRP-3-0421	1
DGRP-3-0422	DGRP-3-0422	0
DGRP-3-0423	DGRP-3-0423	1
DGRP-3-0424	DGRP-3-0424	0
DGRP-3-0425	DGRP-3-0425	1
DGRP-3-0426	DGRP-3-0426	1
DGRP-3-0427	DGRP-3-0427	1
DGRP-3-0428	DGRP-3-0428	0
DGRP-3-0429	DGRP-3-0429	0
DGRP-3-0430	DGRP-3-0430	0
DGRP-3-0431	DGRP-3-0431	0
DGRP-3-0432	DGRP-3-0432	1
DGRP-3-0433	DGRP-3-0433	1
DGRP-3-0434	DGRP-3-0434	1
